SL,Age,gender,PS/SD,Crime_Location,Crime_date,Crime_time,Allegation
1,30,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs
2,32,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs
3,38,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs
4,32,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs
5,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
6,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
7,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
8,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
9,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
10,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
11,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
12,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
13,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
14,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
15,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder
16,30,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder
17,30,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder
18,29,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder
19,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
20,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
21,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
22,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
23,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
24,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
25,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
26,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
27,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
28,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
29,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion 
30,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
31,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
32,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
33,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
34,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
