SL,Age,gender,PS/SD,Crime_Location,Crime_date,Crime_time,Allegation,Temperature,Rain,GDP per capita (USD),GNI per capita (USD)
1,30,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs,36,0,"2,687.90","2,820"
2,32,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs,36,0,"2,687.90","2,820"
3,38,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs,36,0,"2,687.90","2,820"
4,32,male,vulta,rupgonj,4/24/2022,1:55:00 PM,drugs,36,0,"2,687.90","2,820"
5,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
6,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
7,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
8,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
9,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
10,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
11,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
12,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
13,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
14,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
15,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,half murder,28,0,"2,675","2,784"
16,30,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder,24,0,"2,687.90","2,820"
17,30,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder,24,0,"2,687.90","2,820"
18,29,male,sector#7,purbachol,12/29/2022,3:30:00 PM,murder,24,0,"2,687.90","2,820"
19,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
20,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
21,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
22,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
23,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
24,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
25,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
26,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
27,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
28,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
29,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,extortion ,28,0,"2,675","2,784"
30,65,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
31,30,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
32,35,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
33,45,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
34,20,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
35,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
36,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
37,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
38,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
39,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
40,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery,28,0,"2,675","2,784"
41,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership,28,0,"2,687.90","2,820"
42,45,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership,28,0,"2,687.90","2,820"
